,0
0,CCDC69
1,NBL1
2,ABHD17A
3,PRRT3-AS1
4,RHPN1
5,ZNF143
6,ZBTB7B
7,H2BC8
8,OTOR
9,RN7SL1
10,NFKBID
11,ZNF75A
12,DUS2
13,KHDRBS1
14,CCL16
15,ETAA1
16,GAST
17,PIPOX
18,BLOC1S5
19,SELPLG
20,LDLRAP1
21,ASB5
22,TMF1
23,SLC44A1
24,LAMTOR5
25,CAPN3
26,GRN
27,LBR
28,ST6GALNAC1
29,CELF6
30,OFCC1
31,H6PD
32,PLEKHA3
33,GOT2
34,PTDSS1
35,DDX59
36,ENPP6
37,MT1X
38,RCN1
39,HIVEP2
40,STXBP2
41,ZNF93
42,DNAJC4
43,HVCN1
44,HNRNPA1
45,LIN7A
46,SLU7
47,FAM90A15P
48,USP25
49,SASS6
50,PAM
51,VEZF1
52,CYP2C9
53,SLCO5A1
54,LSM11
55,UGGT2
56,FAM32A
57,PSMD3
58,ALLC
59,SLC28A3
60,ZNF219
61,TRAPPC2
62,TGS1
63,ITPR1
64,LBX1
65,ASAP1
66,EBF3
67,CDCA2
68,CALML5
69,LRRC4C
70,GGACT
71,SLC17A1
72,CDX4
73,LSS
74,ACADL
75,VSTM1
76,SERPINB3
77,TRMT1
78,KCTD16
79,FNIP2
80,ST8SIA3
81,APIP
82,PPP1R14C
83,BPESC1
84,ZNF155
85,SLC25A46
86,ABCB8
87,GPR88
88,GALNT17
89,NBPF14
90,TCEAL7
91,RPL36
92,GDF1
93,CHRM2
94,NDUFA2
95,NXPH2
96,SCRN1
97,KCND3
98,AHR
99,SLC18A3
100,NPEPPS
101,GDF6
102,TSPAN13
103,SPINT4
104,NIP7
105,ALDH16A1
106,NOTCH2NLA
107,PTCSC1
108,SAG
109,OR7D4
110,GCKR
111,TONSL
112,MTRR
113,IL15
114,RIPK4
115,OPTC
116,HMGN5
117,ZNF184
118,MAML3
119,PIF1
120,TOR1AIP1
121,PROM1
122,TPRN
123,P2RX1
124,ODF4
125,RIC8B
126,RIMBP2
127,FRMD5
128,DNASE1
129,DIO3OS
130,ZKSCAN1
131,PIN4
132,PRIM2
133,DNAAF10
134,H2AB3
135,CPTP
136,SFR1
137,OR51E2
138,KBTBD7
139,CTRB1
140,CYP3A5
141,JRK
142,PTK2
143,TENT4A
144,FAT4
145,NOS1
146,FEV
147,OSBPL10
148,NFU1
149,TNS1
150,PWAR1
151,BCO1
152,RAB11FIP2
153,TYW1
154,THAP5
155,ASB9
156,ARL1
157,RHOH
158,ACTC1
159,PWRN1
160,REV3L
161,STRC
162,SNRPD2
163,ZNF471
164,UBR3
165,NME8
166,RBPMS
167,ADO
168,SFXN1
169,MSTO1
170,CDADC1
171,ZMYND15
172,INA
173,MYOZ3
174,ACAA1
175,KIF13A
176,HIPK2
177,GPR107
178,COL25A1
179,ZNF320
180,NRDE2
181,GFY
182,MYPN
183,GNA13
184,C1orf146
185,KCNB1
186,DAG1
187,SH3GL1
188,FBXO6
189,DEDD2
190,ABAT
191,MICALL1
192,RABEP2
193,ARHGEF18
194,BEX1
195,ENDOU
196,SPACA6
197,DNAI7
198,MIR433
199,WASHC1
200,ALKAL2
201,RGS3
202,DNAH8
203,EHD3
204,SMG1
205,TP53BP2
206,POSTN
207,MGAM
208,CDH7
209,DSG3
210,FCER1A
211,UBE2L3
212,DHDDS
213,FNBP1L
214,MICOS10
215,GPS2
216,ANGPT4
217,PLPP7
218,CT45A5
219,CYP3A4
220,ZDHHC6
221,DDO
222,MTHFD2L
223,TTTY17A
224,KPNA1
225,RDH10
226,RGL1
227,TMEM270
228,OR1F1
229,MAP3K3
230,MT-TW
231,TCEA2
232,CUZD1
233,BTG1
234,LSM4
235,F11
236,CFAP418
237,RBM11
238,ZNF157
239,HSD17B1
240,P2RY2
241,CYP4F3
242,PROK1
243,CDK13
244,RPS23
245,GTF2A2
246,NNT
247,SEC14L2
248,KIF2A
249,SAP30
250,RBBP8
251,TSIX
252,MEX3D
253,MIR873
254,SCTR
255,SMU1
256,REC8
257,RP1
258,RGS1
259,TFF1
260,CCL3
261,PTGFR
262,C5AR2
263,ECH1
264,SCGN
265,NDUFAF3
266,METTL22
267,TMEM98
268,KIR2DL5A
269,H4C12
270,GPR61
271,CCDC130
272,ECT2
273,NR4A3
274,GXYLT2
275,PVR
276,EMSY
277,F2RL1
278,GABBR1
279,MYH14
280,CAPG
281,KRT6C
282,FEZ2
283,VENTX
284,MAP9
285,CHKA
286,RPS6KA4
287,PAK4
288,CLDN19
289,FTO
290,NMD3
291,GATA5
292,VTRNA1-1
293,SDHA
294,WASHC4
295,MYL10
296,DIP2C
297,EIF4ENIF1
298,MRPL57
299,SETD1B
300,G2E3
301,MTP18
302,NGF
303,TPCN1
304,SPARC
305,SNORD28
306,BBS2
307,SYCP1
308,PLA2G4B
309,USP17L9P
310,GJA8
311,GPX3
312,RAB27B
313,WBP1
314,SAMD4A
315,FBXO15
316,FPR2
317,FSHB
318,STK4
319,URB1
320,E2F2
321,CRYGD
322,HSCB
323,TCEA1
324,PURG
325,MAPRE1
326,SNX29
327,PPT2
328,SLC9A9
329,CENPE
330,CHRNA10
331,PRM2
332,GJB5
333,AP2S1
334,PCDHB@
335,GJD4
336,CDKL1
337,CFL1
338,COLEC12
339,FSHR
340,GAPVD1
341,EMILIN1
342,CBX5
343,BMP3
344,FHOD3
345,MELK
346,MAGEC1
347,ATP6V1E2
348,ATP5F1E
349,QPCT
350,PRSS8
351,PSPH
352,XAB2
353,GCG
354,GLS
355,CDX1
356,GPR4
357,IFI16
358,THOC7
359,FLT1
360,RAB9B
361,KIF20B
362,ZFAND2A
363,TAS2R16
364,IBSP
365,C1QL1
366,MVK
367,C2
368,TMA7
369,NDNF
370,CPD
371,ADCY5
372,ZBTB8A
373,CDH6
374,KIF21A
375,SLC38A4
376,MYL1
377,CACNB2
378,PLA2G15
379,ANKRD6
380,CRNKL1
381,DSCR8
382,BRCA1
383,SPATA7
384,LUZP1
385,IQCJ
386,INHBB
387,ATP5PF
388,EGFL7
389,MIR122
390,CLEC12A
391,LY6K
392,ATP2C1
393,MAMLD1
394,CD163
395,NAALADL2
396,RAD51C
397,HAGH
398,SPRR2D
399,ANKLE1
400,RDX
401,MTMR6
402,SUV39H2
403,SLC16A12
404,CCAR1
405,NIPSNAP2
406,FAR2
407,PHB
408,TXNRD3
409,BNIP3
410,RET
411,SERPINE1
412,MGAT2
413,TAS2R30
414,CRADD
415,VPS26A
416,TLL2
417,MIR23A
418,MAU2
419,MEAF6
420,STRN4
421,DYNC1I2
422,ENPEP
423,BBS10
424,LRRC59
425,CDK15
426,SPSB4
427,TXN
428,CLASP2
429,ANAPC1
430,NTN1
431,ALKBH4
432,CCDC85B
433,CCDC78
434,DDB1
435,AHSP
436,RPL37A
437,DTX1
438,TAFAZZIN
439,DDHD1
440,CNTNAP1
441,SCAMP3
442,PANDAR
443,MIRLET7F2
444,CANT1
445,QSER1
446,HEBP1
447,OR2F1
448,AHCTF1
449,CASQ1
450,PSMC1
451,ECI2
452,PRICKLE4
453,LINC00850
454,SNX15
455,GSTP1
456,PEPE
457,ADAMTS19
458,POLR1H
459,FAF1
460,S100A13
461,NUCB2
462,SCARA5
463,CRACR2A
464,CT45A6
465,HLA-DQA2
466,RSRC1
467,LINC00294
468,SP4
469,HRURF
470,DHRS13
471,JAGN1
472,CLINT1
473,SRSF5
474,RHOB
475,TM2D3
476,IL10RB
477,CDCA4
478,KLHL15
479,NECAB2
480,C11orf58
481,PIP4K2C
482,TNFSF14
483,MRPL22
484,VPS16
485,KRT14
486,SNORD139
487,PIH1D1
488,PGAP3
489,BAGE
490,ELP6
491,SPANXN4
492,TNFRSF10A
493,PAIP1
494,UBQLN3
495,SLC22A8
496,CUTA
497,RIOK2
498,SMARCC1
499,GJB2
500,EAF1
501,DCI
502,R3HDM1
503,MT-ND4
504,AATF
505,LSM2
506,SCRN2
507,STAT5B
508,HCK
509,NOTCH1
510,ALDH1L1
511,STK16
512,CYP2G1P
513,SLC9A7
514,SULF2
515,KLHL13
516,FNBP1
517,PLP1
518,MED26
519,WDR12
520,MIR9-1HG
521,COL15A1
522,SUB1
523,SMOC2
524,SSH2
525,EXOSC1
526,RCHY1
527,UBE2V2
528,WDR91
529,OR2M7
530,SMAD3
531,CCT5
532,INTS5
533,S100A4
534,SNCA
535,FHOD1
536,ZNF213
537,FOXP3
538,SLC22A24
539,FGFR1OP2
540,KIR2DS1
541,NPY4R
542,LFNG
543,PSME1
544,DAOA-AS1
545,CELA2B
546,ZNF350
547,CRH
548,BRK1
549,GAPDHS
550,PASK
551,HOXD8
552,SLC25A32
553,RECQL4
554,TMEM115
555,PHC2
556,CDC14A
557,TMEM86B
558,BDP1
559,SMPD1
560,SRGAP2
561,HAGLR
562,STXBP1
563,HLA-DRB1
564,POLR3D
565,PUS7
566,CLASP1
567,POLL
568,PEBP4
569,NSMCE4A
570,SLC12A2
571,PACSIN3
572,GAL3ST4
573,CEBPD
574,SULT1A3
575,LRIG1
576,VWA7
577,GPR101
578,PZP
579,NLK
580,BCL2L15
581,CASP2
582,ZGLP1
583,CPSF6
584,MYL7
585,SULT1C4
586,CNN2
587,FAM111A
588,LMOD3
589,KLHL6
590,C1QTNF12
591,MIR648
592,SEC61G
593,PREX1
594,FXYD1
595,UGT8
596,CHD6
597,POLB
598,MIR616
599,ARL11
600,NXT2
601,ZNF281
602,NPPB
603,TAS2R13
604,NT5C
605,CEP164
606,LYN
607,SPRYD7
608,DHRS2
609,IQSEC3
610,FABP1
611,RPIA
612,KRT71
613,XAGE1B
614,PROM2
615,SH3D19
616,ASB2
617,MIR1909
618,ACP7
619,AMH
620,DLG2
621,AXIN1
622,CXCR6
623,C16orf42
624,UBE2N
625,PAX1
626,SHC1P2
627,ASGR2
628,ALB
629,SMARCAL1
630,SIX4
631,CEP20
632,ZNF764
633,GLRA1
634,DNM2
635,STXBP5L
636,ZNF436
637,PDAP1
638,TRIM52-AS1
639,CSRP3
640,FUZ
641,VPS4A
642,KIR3DL3
643,PPP1R18
644,PDK2
645,HGFAC
646,ACAP1
647,CDC37
648,RIPPLY3
649,EIF5A
650,KDSR
651,ATP7A
652,POU3F4
653,NOL3
654,BIN2
655,PELI2
656,CD3D
657,GYS1
658,UBTFL1
659,VMA21
660,ZNF322
661,BCAR4
662,PRPSAP2
663,TIMM21
664,PUS3
665,TMEM126A
666,PF4
667,B3GALNT2
668,VMAC
669,ANKRD28
670,MAIP1
671,PAFAH2
672,MIR326
673,CEP131
674,MLIP
675,TM7SF3
676,H3C11
677,VNN1
678,TMEM141
679,ZNF260
680,CREB3L1
681,C19orf43
682,UBQLN1
683,PLAAT4
684,ATXN10
685,PDE1C
686,FUT10
687,LRFN5
688,SERPINB8
689,ASB16
690,SSB
691,ADH1A
692,PIK3CB
693,GNAS-AS1
694,KCNQ2
695,PROX2
696,CEACAM1
697,CDC42EP1
698,PSMB7
699,ERVFRD-1
700,GTF3A
701,JPH2
702,NANOS3
703,GUK2
704,PHLPP1
705,LDB2
706,SLC6A17
707,CARMIL2
708,HFM1
709,LRRC10
710,ISG15
711,FUBP3
712,IL6ST
713,DEFA4
714,ATP4B
715,CP
716,ARSB
717,GPSM3
718,PLCB4
719,GPD1
720,GNB3
721,DRP2
722,CSNK1A1
723,FBXO41
724,SMAD1
725,FRA10AC1
726,SMG6
727,MIR338
728,MEF2D
729,APOBEC3C
730,PCDHB3
731,JMJD6
732,NPTX1
733,EIF2AK2
734,DISC2
735,C6orf89
736,PIGH
737,MIR185
738,KDM3A
739,COG4
740,TLE5
741,CSF2RB
742,TRA-TGC7-1
743,THAP12
744,RASEF
745,MT-TG
746,CRBN
747,BOD1
748,NEK1
749,ZNF658
750,CHMP1B
751,CYRIB
752,POT1
753,MIR429
754,MIR18A
755,SGPP2
756,PDCL
757,COX6B1
758,WEE1
759,BMP8B
760,ITSN1
761,PRND
762,DVL3
763,CSNK1D
764,WNT3
765,DCX
766,SEPSECS
767,GJD3
768,BMPR1A
769,MIA
770,CKM
771,ABHD3
772,TOMM5
773,PIANP
774,PRKAG3
775,MAPRE3
776,RAB31
777,TMPRSS6
778,HDLBP
779,KLRF2
780,ARHGEF3
781,RPL28
782,ULK4
783,TRAF3IP2
784,PANTR1
785,TPMT
786,FGR
787,ANKRD17
788,VILL
789,ROGDI
790,AFDN
791,AGPAT2
792,UGT1A3
793,CYP26B1
794,CAPSL
795,MCU
796,ABI3BP
797,MRPL44
798,PMEPA1
799,PINX1
800,MAP3K4
801,MIR650
802,PHB2
803,PRPF6
804,SPRY4
805,YARS1
806,BRSK2
807,FDPS
808,NUDT6
809,AEN
810,PLAC4
811,EPHA3
812,SERPINA12
813,PTPRR
814,ACIN1
815,ITGAL
816,ZNF19
817,NRGN
818,DPH1
819,PTP4A1
820,MTERF3
821,PPP1R42
822,ZNF182
823,TPD52
824,RASGRP4
825,SRGAP2C
826,SLC14A2
827,SUSD3
828,TOB1
829,USP22
830,SLC38A10
831,ACSM2A
832,MYO5B
833,MAP7
834,SLC25A48
835,XPNPEP2
836,SRP19
837,HOOK3
838,SH3BGRL3
839,GAA
840,MAPK7
841,COX5B
842,LLCFC1
843,PGAM1
844,RAI2
845,CDKN2B-AS1
846,SF3B2
847,GTF2A1
848,FOXF2
849,PDCD1LG2
850,LRIT3
851,ME1
852,CHSY1
853,CNKSR1
854,DMGDH
855,TAB1
856,CREG2
857,SLC24A5
858,WDR35
859,NR2E1
860,NR1H5P
861,PSMC3IP
862,POLH
863,GOLGA2P2Y
864,SMUG1
865,CXCR5
866,COMMD1
867,MT-ND1
868,CNDP1
869,SLC6A16
870,DDX25
871,ALK
872,CEBPA
873,BASP1
874,ARHGAP11B
875,XPO7
876,STAG3
877,ZIC3
878,CENPL
879,ATP10A
880,SLC37A1
881,TNFAIP8L2
882,NACA
883,CHCHD10
884,KIF3B
885,NEU2
886,POTEB
887,AMOTL2
888,CCRL2
889,ZFR2
890,ABI1
891,NDUFA4
892,RPL29
893,PHPT1
894,HTR1E
895,ANGPTL4
896,UPK1A
897,ABCG8
898,FUBP1
899,DNAJC5G
900,MYLK3
901,COX4I1
902,TEX19
903,PLEKHB2
904,POC1A
905,PIGZ
906,FAM115A
907,IQCE
908,PRKD3
909,LRRC55
910,HOXD11
911,CTSK
912,ACTL7B
913,SLC25A35
914,SLC30A10
915,MYO6
916,PRTN3
917,CARD8
918,HES7
919,ABTB1
920,ENTPD3
921,CDK10
922,MARC1
923,AOAH
924,PACC1
925,GPR143
926,FAM20B
927,SPNS1
928,ZDHHC7
929,SERPIND1
930,MMP2
931,TFAP2D
932,CACUL1
933,SET
934,SKP1P2
935,FAR1
936,INMT
937,CFAP65
938,BORCS7
939,FAM3A
940,TIGD7
941,TSG101
942,CD84
943,EPB41L5
944,ISCA2
945,ZNF329
946,FFAR1
947,RASSF8
948,ZNF521
949,CDH10
950,ACTRT1
951,CIAO2B
952,MIR2861
953,ESYT2
954,ARID4A
955,MAGED4B
956,SULT1C2
957,FAM83H
958,KLF3
959,OSGEP
960,RMDN1
961,CGA
962,MX2
963,SLC38A1
964,SYCE2
965,GSTM1
966,KIF25
967,ANKRD2
968,KCNA2
969,RNF181
970,SNAPIN
971,DNAJC24
972,PTGIR
973,NCRNA00116
974,SAA4
975,KLHDC1
976,TIMMDC1
977,DNAJB8
978,GRHL1
979,ERGIC3
980,NAA35
981,MITF
982,H2BC17
983,POMP
984,ALDH5A1
985,MT-ATP6
986,ZNF512B
987,ABCC8
988,ACSS1
989,GID8
990,DIS3
991,CDH9
992,CTCFL
993,SPSB1
994,ERCC8
995,RGS11
996,PRORP
997,B3GNT7
998,PRR15
999,TDRD9
1000,USP17L2
1001,TIMM8A
1002,PLG
1003,VPS37B
1004,WDR81
1005,LINC00114
1006,RAD17
1007,ATP5MJ
1008,SCLY
1009,COMMD3
1010,BATF3
1011,C22orf23
1012,SCARB1
1013,BCHE
1014,XPO1
1015,SRM
1016,MAD1L1
1017,PITX2
1018,PCDHGB2
1019,ADD1
1020,MS4A1
1021,EIF4E3
1022,TAPBP
1023,RAB17
1024,RNY4
1025,IKBKB
1026,EYA4
1027,TTC19
1028,STH
1029,HLA-A
1030,PFKFB4
1031,SIPA1L2
1032,NDRG3
1033,STRA6
1034,FOXD4L4
1035,NSD2
1036,SCN9A
1037,ACADS
1038,CSAG1
1039,UBA7
1040,GPR25
1041,LAMA4
1042,ZDHHC21
1043,CCL4L2
1044,PIGP
1045,KIAA0240
1046,CCDC107
1047,MICAL3
1048,ATAD3B
1049,ZNF746
1050,MDGA1
1051,PLAGL2
1052,SUGCT
1053,CFAP300
1054,ULK1
1055,FANCI
1056,DIDO1
1057,NTSR2
1058,SLC25A17
1059,CCDC62
1060,ARL8B
1061,CYP2E1
1062,BFSP1
1063,ISCA1
1064,ZNF410
1065,MC4R
1066,LRRC25
1067,NANOS1
1068,E2F7
1069,TBC1D22A
1070,MYOCD
1071,FILIP1L
1072,RPL23
1073,PADI4
1074,NMT1
1075,PDXK
1076,SRI
1077,NFATC2
1078,ERBB2
1079,TCEB1
1080,SDHB
1081,HAS1
1082,WASL
1083,ADH7
1084,CNN1
1085,ACBD3
1086,ACVR1C
1087,SNHG11
1088,SLC12A8
1089,ZNF232
1090,MAP3K21
1091,ATXN7
1092,POLR1G
1093,PBX3
1094,SPHK1
1095,ADAR
1096,UBE2L6
1097,THSD7A
1098,LIMS2
1099,GABARAPL2
1100,CNR1
1101,GALNT10
1102,SEZ6L2
1103,ACP5
1104,PGM3
1105,CCL21
1106,EEF1A1
1107,UFM1
1108,MIR370
1109,TMEM102
1110,SOCS7
1111,C16orf61
1112,CRIP1
1113,FBXO8
1114,CD300LD
1115,UBE4B
1116,TREML3P
1117,TIFAB
1118,CLVS2
1119,ITFG2
1120,MAGEB3
1121,DAP3
1122,MKRN1
1123,DNAAF11
1124,MEIS2
1125,ARRB2
1126,DBP
1127,GNG11
1128,NOS2
1129,CCDC186
1130,ASIC4
1131,CX3CR1
1132,PRRT1
1133,WDR53
1134,HAMP
1135,INIP
1136,OMD
1137,ACTA1
1138,H3C3
1139,ZNF20
1140,TRPM6
1141,EMB
1142,THOC6
1143,MB
1144,SDR39U1
1145,ITGAD
1146,SNAI2
1147,DEFB4A
1148,RTCB
1149,AP2M1
1150,PATL1
1151,CDAN1
1152,POLR2MP1
1153,GNPDA1
1154,DSC3
1155,EPAS1
1156,MBD6
1157,OXT
1158,OVOL1
1159,SFI1
1160,FCHSD1
1161,DGKQ
1162,GJA10
1163,SOST
1164,PLSCR2
1165,UFSP1
1166,ELF1
1167,C3orf63
1168,MED24
1169,UGT2B7
1170,SLC18A1
1171,BACE1-AS
