gene,gene_betweeness,gene_degree,replication_time,noncoding_mutation_rate,local_GC_content,HiC_compartment,local_gene_density,wgs_mean_depth,wgs_percent_20x,capture_on_target_rate,capture_mean_depth,capture_pct200,capture_mean_percentGC
1-Dec,2.14E-05,33,604,3.47E-06,0.4004267,-0.01733096,8,51.56757,98.51351,0.6371617,79.6,3.272131,42.05581
1-Mar,3.80E-05,15,1136,6.45E-06,0.357333,-0.01708421,6,46.51351,97.13514,0.5149471,133.318,18.24918,44.91291
1-Mar,3.80E-05,15,564,4.46E-06,0.43791,-0.00229196,9,47.27027,86.2973,0.8892447,132.5672,20.32787,48.99084
1-Mar,3.80E-05,15,1136,6.45E-06,0.357333,-0.01708421,6,46.51351,97.13514,0.5149471,133.318,18.24918,44.91291
1-Mar,3.80E-05,15,564,4.46E-06,0.43791,-0.00229196,9,47.27027,86.2973,0.8892447,132.5672,20.32787,48.99084
1-Mar,4.29E-06,10,1136,6.45E-06,0.357333,-0.01708421,6,46.51351,97.13514,0.5149471,133.318,18.24918,44.91291
1-Mar,4.29E-06,10,564,4.46E-06,0.43791,-0.00229196,9,47.27027,86.2973,0.8892447,132.5672,20.32787,48.99084
1-Mar,4.29E-06,10,1136,6.45E-06,0.357333,-0.01708421,6,46.51351,97.13514,0.5149471,133.318,18.24918,44.91291
1-Mar,4.29E-06,10,564,4.46E-06,0.43791,-0.00229196,9,47.27027,86.2973,0.8892447,132.5672,20.32787,48.99084
1-Mar,3.80E-05,15,1136,6.45E-06,0.357333,-0.01708421,6,46.51351,97.13514,0.5149471,133.318,18.24918,44.91291
1-Mar,3.80E-05,15,564,4.46E-06,0.43791,-0.00229196,9,47.27027,86.2973,0.8892447,132.5672,20.32787,48.99084
1-Mar,3.80E-05,15,1136,6.45E-06,0.357333,-0.01708421,6,46.51351,97.13514,0.5149471,133.318,18.24918,44.91291
1-Mar,3.80E-05,15,564,4.46E-06,0.43791,-0.00229196,9,47.27027,86.2973,0.8892447,132.5672,20.32787,48.99084
1-Mar,4.29E-06,10,1136,6.45E-06,0.357333,-0.01708421,6,46.51351,97.13514,0.5149471,133.318,18.24918,44.91291
1-Mar,4.29E-06,10,564,4.46E-06,0.43791,-0.00229196,9,47.27027,86.2973,0.8892447,132.5672,20.32787,48.99084
1-Mar,4.29E-06,10,1136,6.45E-06,0.357333,-0.01708421,6,46.51351,97.13514,0.5149471,133.318,18.24918,44.91291
1-Mar,4.29E-06,10,564,4.46E-06,0.43791,-0.00229196,9,47.27027,86.2973,0.8892447,132.5672,20.32787,48.99084
1-Sep,5.58E-05,23,165,2.01E-06,0.42303,0.04735477,37,42.81081,84.32432,0.8984011,116.3344,13.40984,58.46715
10-Mar,3.56E-05,8,150,3.18E-06,0.510685,0.000244692,35,46.59459,91.81081,0.8754382,87.8623,3.308197,61.95373
10-Sep,1.08E-05,17,329,1.75E-06,0.4540359,0.02162034,6,51,93.56757,0.8667666,129.7148,14.57049,39.96766
11-Sep,8.91E-05,38,462,1.85E-06,0.414735,0.03888384,10,51.59459,95.16216,0.7912826,93.67541,6.64918,41.91363
12-Sep,1.33E-05,15,195,2.31E-06,0.51745,0.03258623,23,40.10811,85.05405,0.8875208,100.6,10.67213,59.59194
14-Sep,0,2,627,5.37E-06,0.44527,-0.009785383,4,53.54054,95.78378,0.7968101,103.8492,11.97049,34.56544
15-Sep,4.61E-06,5,410,2.17E-06,0.40818,-0.006336008,8,40.56757,90.05405,0.7984489,50.05902,0.6557377,43.7335
2-Mar,3.37E-07,2,342,2.54E-06,0.43685,0.02674402,7,46.81081,87.48649,0.8548534,90.8918,8.586885,57.94765
2-Mar,3.37E-07,2,564,4.46E-06,0.43791,-0.00229196,9,48.43243,88.40541,0.9007474,127.2623,19.86557,46.25949
2-Mar,3.37E-07,2,342,2.54E-06,0.43685,0.02674402,7,46.81081,87.48649,0.8548534,90.8918,8.586885,57.94765
